Symbol,Streak,Odds,Events,"Avg Perf",Sharpe,"Last Perf","Min Perf","Max Perf",LC,"Vol (M)","S1 H Gain","S1 L Gain","Avg MFE","Avg MAE",Close-Open, MFE, MAE
A,-3,64.2,53,-0.0427,-0.0365,-1.8752,-4.0460,1.9043,127.68,221.39,0.9158,-0.1198,1.09,-0.91,-1.54,.49,-1.92
AAL,-1,49.2,250,-0.0790,-0.0272,-1.5564,-18.1882,8.5455,17.71,"1,065.28",2.6119,-0.7252,1.83,-2.03,.78,-.12,.93
AAP,3,50.0,60,-0.0830,-0.0445,3.5410,-5.1710,6.2350,167.55,202.62,1.7732,-0.4921,1.42,-1.12,-1.57,.12,-3.5
AAPL,1,52.3,264,0.0356,0.0242,-0.8636,-5.7079,5.8559,129.71,"13,231.61",1.4298,-0.3431,1.17,-0.88,-.37,.47,-1.44
ABBV,2,51.2,125,-0.0401,-0.0248,-0.2164,-5.7260,7.6070,106.06,801.95,1.5872,-0.5101,1.36,-0.98,-1.22,.47,-1.32
ABC,2,52.4,126,0.1285,0.0825,-0.0475,-3.9837,5.4711,105.26,142.40,1.6304,-0.3118,1.44,-1.14,.26,.71,-.61
ABMD,2,53.6,125,0.1432,0.0546,1.8274,-17.8741,10.1252,322.08,121.79,2.3647,-0.6790,1.86,-1.43,11.09,12.74,-3.87
ABT,-3,63.0,54,0.3277,0.1919,-1.4382,-4.4743,7.3640,125.41,674.74,1.9804,-0.4570,1.20,-0.88,-2.21,.14,-2.58
ACN,2,47.9,142,-0.1195,-0.1126,-0.4444,-3.9785,2.4188,257.63,473.10,0.8481,-0.1984,0.76,-0.82,-4.17,-4.3,.04
ADBE,1,54.5,257,0.0138,0.0083,-0.5822,-7.0030,6.8056,488.37,"1,254.64",1.6137,-0.3856,1.22,-1.20,-8.04,1.49,-11.06
ADI,2,43.8,130,-0.2661,-0.1705,-1.0391,-7.3798,3.3628,158.09,454.70,1.1986,-0.2882,1.03,-1.23,3.17,-.63,3.77
ADM,2,43.8,128,-0.0099,-0.0088,-0.1788,-3.1938,5.1596,55.82,152.04,1.1596,-0.3811,1.04,-0.68,.12,-.21,.38
ADP,4,63.2,38,0.0548,0.0509,3.2729,-2.3869,1.8504,172.60,344.82,1.0256,-0.1027,1.14,-0.71,-3.54,.57,-3.83
ADSK,1,53.5,258,0.1447,0.0895,-0.5950,-4.6235,6.6490,300.72,444.86,1.7424,-0.3563,1.51,-1.23,3.66,8.31,-.63
AEE,2,56.6,122,-0.0115,-0.0080,1.0778,-6.3453,8.4152,74.09,124.69,1.3358,-0.4480,0.83,-0.94,-1.76,.06,-1.83
AEP,1,50.6,241,0.0367,0.0331,2.5354,-5.0504,3.9328,80.48,238.06,1.0884,-0.2496,0.81,-0.87,-1.05,.35,-1.41
AES,-2,50.5,105,-0.1556,-0.1004,-3.3032,-4.6582,3.7092,27.81,200.74,1.3202,-0.3538,1.28,-1.17,.3,.59,-.08
AFL,2,46.3,134,-0.1720,-0.1269,0.5315,-6.6593,3.8976,47.29,178.72,1.0540,-0.2928,1.00,-0.87,.47,-.09,.91
AIG,-1,43.9,237,-0.2707,-0.1335,-2.6808,-13.4525,7.2269,42.11,198.75,1.5821,-0.5402,1.08,-1.41,.08,-.43,.32
AIZ,-1,50.6,251,-0.0334,-0.0239,-2.3465,-4.8775,6.9611,122.77,63.45,1.3414,-0.4223,1.01,-1.01,.81,1.38,-.95
AJG,4,44.2,43,-0.0667,-0.0682,0.8159,-2.4873,2.2987,118.62,100.52,0.9370,-0.2583,0.87,-0.78,1.06,-.26,1.71
AKAM,-1,52.4,248,-0.0397,-0.0253,-2.2070,-8.4981,5.1774,99.70,244.78,1.3796,-0.2954,1.15,-1.11,-1.17,.58,-1.31
